Code,D_P,Description
A5002,D,Osteocondropatía sifilítica congénita precoz
A5003,D,Faringitis sifilítica congénita precoz
A5004,D,Neumonía sifilítica congénita precoz
A5005,D,Rinitis sifilítica congénita precoz
A5006,D,Sífilis cutánea congénita precoz
A5007,D,Sífilis mucocutánea congénita precoz
A5008,D,Sífilis visceral congénita precoz
A5009,D,"Otras sífilis congénitas precoces, sintomáticas"
A501,D,"Sífilis congénita precoz, latente"
A502,D,"Sífilis congénita precoz, no especificada"
A503,D,Oculopatía sifilítica congénita tardía
A5030,D,"Sífilis ocular congénita, no especificada"
A5031,D,Queratitis intersticial sifilítica congénita tardía
A5032,D,Coriorretinitis sifilítica congénita tardía
A5039,D,Otras afectaciones oculares por sífilis congénitas tardías
A504,D,Neurosífilis congénita tardía [neurosífilis juvenil]
A5040,D,"Neurosífilis congénita tardía, no especificada"
A5041,D,Meningitis sifilítica congénita tardía
A5042,D,Encefalitis sifilítica congénita tardía
A5043,D,Polineuropatía sifilítica congénita tardía
A5044,D,Atrofia sifilítica congénita tardía del nervio óptico
A5045,D,Paresia general juvenil
A5049,D,Otras neurosífilis congénitas tardías
A505,D,"Otras formas de sífilis congénita tardía, sintomática"
A5051,D,Articulaciones de Clutton
A5052,D,Dientes de Hutchinson
A5053,D,Tríada de Hutchinson
A5054,D,Sífilis cardiovascular congénita tardía
A5055,D,Artropatía sifilítica congénita tardía
A5056,D,Osteocondropatía sifilítica congénita tardía
A5057,D,Nariz en silla de montar sifilítica
A5059,D,"Otras sífilis congénitas tardías, sintomáticas"
A506,D,"Sífilis congénita tardía, latente"
A507,D,"Sífilis congénita tardía, no especificada"
A509,D,"Sífilis congénita, no especificada"
A51,D,Sífilis precoz
A510,D,Sífilis genital primaria
A511,D,Sífilis primaria anal
A512,D,Sífilis primaria de otra localización
A513,D,Sífilis secundaria de piel y mucosas
A5131,D,Condiloma latum
A5132,D,Alopecia sifilítica
A5139,D,Otras sífilis secundarias de piel
A514,D,Otras sífilis secundarias
A5141,D,Meningitis sifilítica secundaria
A5142,D,Enfermedad pélvica femenina sifilítica secundaria
A5143,D,Oculopatía sifilítica secundaria
A5144,D,Nefritis sifilíticas secundarias
A5145,D,Hepatitis sifilítica secundaria
A5146,D,Osteopatía sifilítica secundaria
A5149,D,Otros trastornos sifilíticos secundarios
A515,D,"Sífilis precoz, latente"
A519,D,"Sífilis precoz, no especificada"
A52,D,Sífilis tardía
A520,D,Sífilis cardiovascular y cerebrovascular
A5200,D,"Sífilis cardiovascular, no especificada"
A5201,D,Aneurisma sifilítico de aorta
A5202,D,Aortitis sifilítica
A5203,D,Endocarditis sifilítica
A5204,D,Arteritis cerebral sifilítica
A5205,D,Otras sífilis cerebrovasculares
A5206,D,Otros tipos de afectación sifilítica cardiaca
A5209,D,Otras sífilis cardiovascular
A521,D,Neurosífilis sintomática
A5210,D,"Neurosífilis sintomática, no especificada"
A5211,D,Tabes dorsal
A5212,D,Otras sífilis cefalorraquídeas
A5213,D,Meningitis sifilítica tardía
A5214,D,Encefalitis sifilítica tardía
A5215,D,Neuropatía sifilítica tardía
A5216,D,Artropatía de Charcôt (tabética)
A5217,D,Parálisis general
A5219,D,Otras neurosífilis sintomáticas
A522,D,Neurosífilis asintomática
A523,D,Neurosífilis no especificada
A527,D,Otras sífilis tardías sintomáticas
A5271,D,Oculopatía sifilítica tardía
A5272,D,Sífilis de pulmón y bronquios
A5273,D,Sífilis sintomática tardía de otros órganos respiratorios
A5274,D,Sífilis de hígado y otras vísceras
A5275,D,Sífilis de riñón y de uréter
A5276,D,Otros tipos de sífilis tardía sintomática genitourinaria
A5277,D,Sífilis de huesos y articulaciones
A5278,D,Sífilis de otros tejidos musculoesqueléticos
A5279,D,Otras sífilis sintomática tardía
A528,D,"Sífilis tardía, latente"
A529,D,"Sífilis tardía, no especificada"
A53,D,Otras sífilis y las no especificadas
A530,D,"Sífilis latente, no especificada como precoz o tardía"
A539,D,"Sífilis, no especificada"
A54,D,Infección gonocócica
A540,D,Infección gonocócica del tracto genitourinario inferior sin absceso periuretral o de glándula accesoria
A5400,D,"Infección gonocócica de tracto genitourinario, no especificada"
A5401,D,"Cistitis y uretritis gonocócica, no especificadas"
A5402,D,"Vulvovaginitis gonocócica, no especificada"
A5403,D,"Cervicitis gonocócica, no especificada"
A5409,D,Otras infecciones gonocócicas de tracto genitourinario inferior
A541,D,Infección gonocócica del tracto genitourinario inferior con absceso periuretral y de glándulas accesorias
A542,D,Pelviperitonitis gonocócica y otras infecciones gonocócicas genitourinarias
A5421,D,Infección gonocócica de riñón y uréter
A5422,D,Prostatitis gonocócica
A5423,D,Infección gonocócica de otros órganos genitales masculinos
A5424,D,Enfermedad pélvica inflamatoria femenina gonocócica
A5429,D,Otras infecciones genitourinarias gonocócicas
A543,D,Infección gonocócica ocular
A5430,D,"Infección gonocócica ocular, no especificada"
A5431,D,Conjuntivitis gonocócica
A5432,D,Iridociclitis gonocócica
A5433,D,Queratitis gonocócica
A5439,D,Otra infección gonocócica ocular
A544,D,Infección gonocócica del sistema osteomuscular
A5440,D,"Infección gonocócica del sistema osteomuscular, no especificada"
A5441,D,Espondilopatía gonocócica
A5442,D,Artritis gonocócica
A5443,D,Osteomielitis gonocócica
A5449,D,Infección gonocócica de otros tejidos osteomusculares
A545,D,Faringitis gonocócica
A546,D,Infección gonocócica del ano y del recto
A548,D,Otras infecciones gonocócicas
A5481,D,Meningitis gonocócica
A5482,D,Absceso cerebral gonocócico
A5483,D,Infección cardiaca gonocócica
A5484,D,Neumonía gonocócica
A5485,D,Peritonitis gonocócica
A5486,D,Sepsis gonocócica
A5489,D,Otras infecciones gonocócicas
A549,D,"Infección gonocócica, no especificada"
A55,D,Linfogranuloma (venéreo) por clamidias
A56,D,Otras enfermedades de transmisión sexual debidas a clamidias
A560,D,Infección del tracto genitourinario inferior debida a clamidias
A5600,D,"Infección del tracto genitourinario inferior debida a clamidias, no especificada"
A5601,D,Cistitis y uretritis por clamidias
A5602,D,Vulvovaginitis por clamidias
A5609,D,Otra infección por clamidias de tracto genitourinario inferior
A561,D,Infección del pelviperitoneo y otros órganos genitourinarios debida a clamidias
A5611,D,Enfermedad pélvica inflamatoria femenina por clamidias
A5619,D,Otra infección genitourinaria por clamidias
A562,D,"Infecciones del tracto genitourinario debidas a clamidias, no especificada"
A563,D,Infección del ano y del recto debida a clamidias
A564,D,Infección de faringe debida a clamidias
A568,D,Infección de transmisión sexual de otras localizaciones debida a clamidias
A57,D,Chancro blando
A58,D,Granuloma inguinal
A59,D,Tricomoniasis
A590,D,Tricomoniasis urogenital
A5900,D,"Tricomoniasis urogenital, no especificada"
A5901,D,Vulvovaginitis por tricomonas
A5902,D,Prostatitis por tricomonas
A5903,D,Cistitis y uretritis por tricomonas
A5909,D,Otra tricomoniasis urogenital
A598,D,Tricomoniasis de otras localizaciones
A599,D,"Tricomoniasis, no especificada"
A60,D,Infección anogenital debida a virus del herpes [herpes simple]
A600,D,Infección por herpesvirus de los órganos genitales y del tracto urogenital
A6000,D,"Infección por herpesvirus del sistema urogenital, no especificada"
A6001,D,Infección por herpesvirus del pene
A6002,D,Infección por herpesvirus de otros órganos genitales masculinos
A6003,D,Cervicitis por herpesvirus
A6004,D,Vulvovaginitis por herpesvirus
A6009,D,Otras infecciones por herpesvirus del tracto urogenital
A601,D,Infección de la piel perianal y recto por virus del herpes simple
A609,D,"Infección anogenital por virus del herpes simple, no especificada"
A63,D,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto"
A630,D,Verrugas (venéreas) anogenitales
A638,D,"Otras enfermedades de transmisión predominantemente sexual, especificadas"
A64,D,Enfermedad de transmisión sexual no especificada
A65,D,Sífilis no venérea
A66,D,Pian
