Code,D_P,Description
0PUK4JZ,P,"Suplemento en cúbito, derecho, con sustituto sintético, abordaje endoscópico percutáneo"
0PUK4KZ,P,"Suplemento en cúbito, derecho, con sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PUL07Z,P,"Suplemento en cúbito, izquierdo, con sustituto de tejido autólogo, abordaje abierto"
0PUL0JZ,P,"Suplemento en cúbito, izquierdo, con sustituto sintético, abordaje abierto"
0PUL0KZ,P,"Suplemento en cúbito, izquierdo, con sustituto de tejido no autólogo, abordaje abierto"
0PUL37Z,P,"Suplemento en cúbito, izquierdo, con sustituto de tejido autólogo, abordaje percutáneo"
0PUL3JZ,P,"Suplemento en cúbito, izquierdo, con sustituto sintético, abordaje percutáneo"
0PUL3KZ,P,"Suplemento en cúbito, izquierdo, con sustituto de tejido no autólogo, abordaje percutáneo"
0PUL47Z,P,"Suplemento en cúbito, izquierdo, con sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PUL4JZ,P,"Suplemento en cúbito, izquierdo, con sustituto sintético, abordaje endoscópico percutáneo"
0PUL4KZ,P,"Suplemento en cúbito, izquierdo, con sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PUM07Z,P,"Suplemento en carpo, derecho, con sustituto de tejido autólogo, abordaje abierto"
0PUM0JZ,P,"Suplemento en carpo, derecho, con sustituto sintético, abordaje abierto"
0PUM0KZ,P,"Suplemento en carpo, derecho, con sustituto de tejido no autólogo, abordaje abierto"
0PUM37Z,P,"Suplemento en carpo, derecho, con sustituto de tejido autólogo, abordaje percutáneo"
0PUM3JZ,P,"Suplemento en carpo, derecho, con sustituto sintético, abordaje percutáneo"
0PUM3KZ,P,"Suplemento en carpo, derecho, con sustituto de tejido no autólogo, abordaje percutáneo"
0PUM47Z,P,"Suplemento en carpo, derecho, con sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PUM4JZ,P,"Suplemento en carpo, derecho, con sustituto sintético, abordaje endoscópico percutáneo"
0PUM4KZ,P,"Suplemento en carpo, derecho, con sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PUN07Z,P,"Suplemento en carpo, izquierdo, con sustituto de tejido autólogo, abordaje abierto"
0PUN0JZ,P,"Suplemento en carpo, izquierdo, con sustituto sintético, abordaje abierto"
0PUN0KZ,P,"Suplemento en carpo, izquierdo, con sustituto de tejido no autólogo, abordaje abierto"
0PUN37Z,P,"Suplemento en carpo, izquierdo, con sustituto de tejido autólogo, abordaje percutáneo"
0PUN3JZ,P,"Suplemento en carpo, izquierdo, con sustituto sintético, abordaje percutáneo"
0PUN3KZ,P,"Suplemento en carpo, izquierdo, con sustituto de tejido no autólogo, abordaje percutáneo"
0PUN47Z,P,"Suplemento en carpo, izquierdo, con sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PUN4JZ,P,"Suplemento en carpo, izquierdo, con sustituto sintético, abordaje endoscópico percutáneo"
0PUN4KZ,P,"Suplemento en carpo, izquierdo, con sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PUP07Z,P,"Suplemento en metacarpo, derecho, con sustituto de tejido autólogo, abordaje abierto"
0PUP0JZ,P,"Suplemento en metacarpo, derecho, con sustituto sintético, abordaje abierto"
0PUP0KZ,P,"Suplemento en metacarpo, derecho, con sustituto de tejido no autólogo, abordaje abierto"
0PUP37Z,P,"Suplemento en metacarpo, derecho, con sustituto de tejido autólogo, abordaje percutáneo"
0PUP3JZ,P,"Suplemento en metacarpo, derecho, con sustituto sintético, abordaje percutáneo"
0PUP3KZ,P,"Suplemento en metacarpo, derecho, con sustituto de tejido no autólogo, abordaje percutáneo"
0PUP47Z,P,"Suplemento en metacarpo, derecho, con sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PUP4JZ,P,"Suplemento en metacarpo, derecho, con sustituto sintético, abordaje endoscópico percutáneo"
0PUP4KZ,P,"Suplemento en metacarpo, derecho, con sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PUQ07Z,P,"Suplemento en metacarpo, izquierdo, con sustituto de tejido autólogo, abordaje abierto"
0PUQ0JZ,P,"Suplemento en metacarpo, izquierdo, con sustituto sintético, abordaje abierto"
0PUQ0KZ,P,"Suplemento en metacarpo, izquierdo, con sustituto de tejido no autólogo, abordaje abierto"
0PUQ37Z,P,"Suplemento en metacarpo, izquierdo, con sustituto de tejido autólogo, abordaje percutáneo"
0PUQ3JZ,P,"Suplemento en metacarpo, izquierdo, con sustituto sintético, abordaje percutáneo"
0PUQ3KZ,P,"Suplemento en metacarpo, izquierdo, con sustituto de tejido no autólogo, abordaje percutáneo"
0PUQ47Z,P,"Suplemento en metacarpo, izquierdo, con sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PUQ4JZ,P,"Suplemento en metacarpo, izquierdo, con sustituto sintético, abordaje endoscópico percutáneo"
0PUQ4KZ,P,"Suplemento en metacarpo, izquierdo, con sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PUR07Z,P,"Suplemento en falange pulgar, derecho, con sustituto de tejido autólogo, abordaje abierto"
0PUR0JZ,P,"Suplemento en falange pulgar, derecho, con sustituto sintético, abordaje abierto"
0PUR0KZ,P,"Suplemento en falange pulgar, derecho, con sustituto de tejido no autólogo, abordaje abierto"
0PUR37Z,P,"Suplemento en falange pulgar, derecho, con sustituto de tejido autólogo, abordaje percutáneo"
0PUR3JZ,P,"Suplemento en falange pulgar, derecho, con sustituto sintético, abordaje percutáneo"
0PUR3KZ,P,"Suplemento en falange pulgar, derecho, con sustituto de tejido no autólogo, abordaje percutáneo"
0PUR47Z,P,"Suplemento en falange pulgar, derecho, con sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PUR4JZ,P,"Suplemento en falange pulgar, derecho, con sustituto sintético, abordaje endoscópico percutáneo"
0PUR4KZ,P,"Suplemento en falange pulgar, derecho, con sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PUS07Z,P,"Suplemento en falange pulgar, izquierdo, con sustituto de tejido autólogo, abordaje abierto"
0PUS0JZ,P,"Suplemento en falange pulgar, izquierdo, con sustituto sintético, abordaje abierto"
0PUS0KZ,P,"Suplemento en falange pulgar, izquierdo, con sustituto de tejido no autólogo, abordaje abierto"
0PUS37Z,P,"Suplemento en falange pulgar, izquierdo, con sustituto de tejido autólogo, abordaje percutáneo"
0PUS3JZ,P,"Suplemento en falange pulgar, izquierdo, con sustituto sintético, abordaje percutáneo"
0PUS3KZ,P,"Suplemento en falange pulgar, izquierdo, con sustituto de tejido no autólogo, abordaje percutáneo"
0PUS47Z,P,"Suplemento en falange pulgar, izquierdo, con sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PUS4JZ,P,"Suplemento en falange pulgar, izquierdo, con sustituto sintético, abordaje endoscópico percutáneo"
0PUS4KZ,P,"Suplemento en falange pulgar, izquierdo, con sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PUT07Z,P,"Suplemento en falange dedo mano, derecha, con sustituto de tejido autólogo, abordaje abierto"
0PUT0JZ,P,"Suplemento en falange dedo mano, derecha, con sustituto sintético, abordaje abierto"
0PUT0KZ,P,"Suplemento en falange dedo mano, derecha, con sustituto de tejido no autólogo, abordaje abierto"
0PUT37Z,P,"Suplemento en falange dedo mano, derecha, con sustituto de tejido autólogo, abordaje percutáneo"
0PUT3JZ,P,"Suplemento en falange dedo mano, derecha, con sustituto sintético, abordaje percutáneo"
0PUT3KZ,P,"Suplemento en falange dedo mano, derecha, con sustituto de tejido no autólogo, abordaje percutáneo"
0PUT47Z,P,"Suplemento en falange dedo mano, derecha, con sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PUT4JZ,P,"Suplemento en falange dedo mano, derecha, con sustituto sintético, abordaje endoscópico percutáneo"
0PUT4KZ,P,"Suplemento en falange dedo mano, derecha, con sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PUV07Z,P,"Suplemento en falange dedo mano, izquierda, con sustituto de tejido autólogo, abordaje abierto"
0PUV0JZ,P,"Suplemento en falange dedo mano, izquierda, con sustituto sintético, abordaje abierto"
0PUV0KZ,P,"Suplemento en falange dedo mano, izquierda, con sustituto de tejido no autólogo, abordaje abierto"
0PUV37Z,P,"Suplemento en falange dedo mano, izquierda, con sustituto de tejido autólogo, abordaje percutáneo"
0PUV3JZ,P,"Suplemento en falange dedo mano, izquierda, con sustituto sintético, abordaje percutáneo"
0PUV3KZ,P,"Suplemento en falange dedo mano, izquierda, con sustituto de tejido no autólogo, abordaje percutáneo"
0PUV47Z,P,"Suplemento en falange dedo mano, izquierda, con sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PUV4JZ,P,"Suplemento en falange dedo mano, izquierda, con sustituto sintético, abordaje endoscópico percutáneo"
0PUV4KZ,P,"Suplemento en falange dedo mano, izquierda, con sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PW004Z,P,"Revisión en esternón, de dispositivo de fijación interna, abordaje abierto"
0PW007Z,P,"Revisión en esternón, de sustituto de tejido autólogo, abordaje abierto"
0PW00JZ,P,"Revisión en esternón, de sustituto sintético, abordaje abierto"
0PW00KZ,P,"Revisión en esternón, de sustituto de tejido no autólogo, abordaje abierto"
0PW034Z,P,"Revisión en esternón, de dispositivo de fijación interna, abordaje percutáneo"
0PW037Z,P,"Revisión en esternón, de sustituto de tejido autólogo, abordaje percutáneo"
0PW03JZ,P,"Revisión en esternón, de sustituto sintético, abordaje percutáneo"
0PW03KZ,P,"Revisión en esternón, de sustituto de tejido no autólogo, abordaje percutáneo"
0PW044Z,P,"Revisión en esternón, de dispositivo de fijación interna, abordaje endoscópico percutáneo"
0PW047Z,P,"Revisión en esternón, de sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PW04JZ,P,"Revisión en esternón, de sustituto sintético, abordaje endoscópico percutáneo"
0PW04KZ,P,"Revisión en esternón, de sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PW0X4Z,P,"Revisión en esternón, de dispositivo de fijación interna, abordaje externo"
0PW0X7Z,P,"Revisión en esternón, de sustituto de tejido autólogo, abordaje externo"
0PW0XJZ,P,"Revisión en esternón, de sustituto sintético, abordaje externo"
0PW0XKZ,P,"Revisión en esternón, de sustituto de tejido no autólogo, abordaje externo"
0PW104Z,P,"Revisión en costillas, 1 ó 2, de dispositivo de fijación interna, abordaje abierto"
0PW107Z,P,"Revisión en costillas, 1 ó 2, de sustituto de tejido autólogo, abordaje abierto"
0PW10JZ,P,"Revisión en costillas, 1 ó 2, de sustituto sintético, abordaje abierto"
0PW10KZ,P,"Revisión en costillas, 1 ó 2, de sustituto de tejido no autólogo, abordaje abierto"
0PW134Z,P,"Revisión en costillas, 1 ó 2, de dispositivo de fijación interna, abordaje percutáneo"
0PW137Z,P,"Revisión en costillas, 1 ó 2, de sustituto de tejido autólogo, abordaje percutáneo"
0PW13JZ,P,"Revisión en costillas, 1 ó 2, de sustituto sintético, abordaje percutáneo"
0PW13KZ,P,"Revisión en costillas, 1 ó 2, de sustituto de tejido no autólogo, abordaje percutáneo"
0PW144Z,P,"Revisión en costillas, 1 ó 2, de dispositivo de fijación interna, abordaje endoscópico percutáneo"
0PW147Z,P,"Revisión en costillas, 1 ó 2, de sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PW14JZ,P,"Revisión en costillas, 1 ó 2, de sustituto sintético, abordaje endoscópico percutáneo"
0PW14KZ,P,"Revisión en costillas, 1 ó 2, de sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PW1X4Z,P,"Revisión en costillas, 1 ó 2, de dispositivo de fijación interna, abordaje externo"
0PW1X7Z,P,"Revisión en costillas, 1 ó 2, de sustituto de tejido autólogo, abordaje externo"
0PW1XJZ,P,"Revisión en costillas, 1 ó 2, de sustituto sintético, abordaje externo"
0PW1XKZ,P,"Revisión en costillas, 1 ó 2, de sustituto de tejido no autólogo, abordaje externo"
0PW204Z,P,"Revisión en costillas, 3 o más, de dispositivo de fijación interna, abordaje abierto"
0PW207Z,P,"Revisión en costillas, 3 o más, de sustituto de tejido autólogo, abordaje abierto"
0PW20JZ,P,"Revisión en costillas, 3 o más, de sustituto sintético, abordaje abierto"
0PW20KZ,P,"Revisión en costillas, 3 o más, de sustituto de tejido no autólogo, abordaje abierto"
0PW234Z,P,"Revisión en costillas, 3 o más, de dispositivo de fijación interna, abordaje percutáneo"
0PW237Z,P,"Revisión en costillas, 3 o más, de sustituto de tejido autólogo, abordaje percutáneo"
0PW23JZ,P,"Revisión en costillas, 3 o más, de sustituto sintético, abordaje percutáneo"
0PW23KZ,P,"Revisión en costillas, 3 o más, de sustituto de tejido no autólogo, abordaje percutáneo"
0PW244Z,P,"Revisión en costillas, 3 o más, de dispositivo de fijación interna, abordaje endoscópico percutáneo"
0PW247Z,P,"Revisión en costillas, 3 o más, de sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PW24JZ,P,"Revisión en costillas, 3 o más, de sustituto sintético, abordaje endoscópico percutáneo"
0PW24KZ,P,"Revisión en costillas, 3 o más, de sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PW2X4Z,P,"Revisión en costillas, 3 o más, de dispositivo de fijación interna, abordaje externo"
0PW2X7Z,P,"Revisión en costillas, 3 o más, de sustituto de tejido autólogo, abordaje externo"
0PW2XJZ,P,"Revisión en costillas, 3 o más, de sustituto sintético, abordaje externo"
0PW2XKZ,P,"Revisión en costillas, 3 o más, de sustituto de tejido no autólogo, abordaje externo"
0PW304Z,P,"Revisión en vértebra cervical, de dispositivo de fijación interna, abordaje abierto"
0PW307Z,P,"Revisión en vértebra cervical, de sustituto de tejido autólogo, abordaje abierto"
0PW30JZ,P,"Revisión en vértebra cervical, de sustituto sintético, abordaje abierto"
0PW30KZ,P,"Revisión en vértebra cervical, de sustituto de tejido no autólogo, abordaje abierto"
0PW334Z,P,"Revisión en vértebra cervical, de dispositivo de fijación interna, abordaje percutáneo"
0PW337Z,P,"Revisión en vértebra cervical, de sustituto de tejido autólogo, abordaje percutáneo"
0PW33JZ,P,"Revisión en vértebra cervical, de sustituto sintético, abordaje percutáneo"
0PW33KZ,P,"Revisión en vértebra cervical, de sustituto de tejido no autólogo, abordaje percutáneo"
0PW344Z,P,"Revisión en vértebra cervical, de dispositivo de fijación interna, abordaje endoscópico percutáneo"
0PW347Z,P,"Revisión en vértebra cervical, de sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PW34JZ,P,"Revisión en vértebra cervical, de sustituto sintético, abordaje endoscópico percutáneo"
0PW34KZ,P,"Revisión en vértebra cervical, de sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PW3X4Z,P,"Revisión en vértebra cervical, de dispositivo de fijación interna, abordaje externo"
0PW3X7Z,P,"Revisión en vértebra cervical, de sustituto de tejido autólogo, abordaje externo"
0PW3XJZ,P,"Revisión en vértebra cervical, de sustituto sintético, abordaje externo"
0PW3XKZ,P,"Revisión en vértebra cervical, de sustituto de tejido no autólogo, abordaje externo"
0PW404Z,P,"Revisión en vértebra dorsal, de dispositivo de fijación interna, abordaje abierto"
0PW407Z,P,"Revisión en vértebra dorsal, de sustituto de tejido autólogo, abordaje abierto"
0PW40JZ,P,"Revisión en vértebra dorsal, de sustituto sintético, abordaje abierto"
0PW40KZ,P,"Revisión en vértebra dorsal, de sustituto de tejido no autólogo, abordaje abierto"
0PW434Z,P,"Revisión en vértebra dorsal, de dispositivo de fijación interna, abordaje percutáneo"
0PW437Z,P,"Revisión en vértebra dorsal, de sustituto de tejido autólogo, abordaje percutáneo"
0PW43JZ,P,"Revisión en vértebra dorsal, de sustituto sintético, abordaje percutáneo"
0PW43KZ,P,"Revisión en vértebra dorsal, de sustituto de tejido no autólogo, abordaje percutáneo"
0PW444Z,P,"Revisión en vértebra dorsal, de dispositivo de fijación interna, abordaje endoscópico percutáneo"
0PW447Z,P,"Revisión en vértebra dorsal, de sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PW44JZ,P,"Revisión en vértebra dorsal, de sustituto sintético, abordaje endoscópico percutáneo"
0PW44KZ,P,"Revisión en vértebra dorsal, de sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PW4X4Z,P,"Revisión en vértebra dorsal, de dispositivo de fijación interna, abordaje externo"
0PW4X7Z,P,"Revisión en vértebra dorsal, de sustituto de tejido autólogo, abordaje externo"
0PW4XJZ,P,"Revisión en vértebra dorsal, de sustituto sintético, abordaje externo"
0PW4XKZ,P,"Revisión en vértebra dorsal, de sustituto de tejido no autólogo, abordaje externo"
0PW504Z,P,"Revisión en escápula, derecha, de dispositivo de fijación interna, abordaje abierto"
0PW507Z,P,"Revisión en escápula, derecha, de sustituto de tejido autólogo, abordaje abierto"
0PW50JZ,P,"Revisión en escápula, derecha, de sustituto sintético, abordaje abierto"
0PW50KZ,P,"Revisión en escápula, derecha, de sustituto de tejido no autólogo, abordaje abierto"
0PW534Z,P,"Revisión en escápula, derecha, de dispositivo de fijación interna, abordaje percutáneo"
0PW537Z,P,"Revisión en escápula, derecha, de sustituto de tejido autólogo, abordaje percutáneo"
0PW53JZ,P,"Revisión en escápula, derecha, de sustituto sintético, abordaje percutáneo"
0PW53KZ,P,"Revisión en escápula, derecha, de sustituto de tejido no autólogo, abordaje percutáneo"
0PW544Z,P,"Revisión en escápula, derecha, de dispositivo de fijación interna, abordaje endoscópico percutáneo"
0PW547Z,P,"Revisión en escápula, derecha, de sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PW54JZ,P,"Revisión en escápula, derecha, de sustituto sintético, abordaje endoscópico percutáneo"
0PW54KZ,P,"Revisión en escápula, derecha, de sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PW5X4Z,P,"Revisión en escápula, derecha, de dispositivo de fijación interna, abordaje externo"
0PW5X7Z,P,"Revisión en escápula, derecha, de sustituto de tejido autólogo, abordaje externo"
0PW5XJZ,P,"Revisión en escápula, derecha, de sustituto sintético, abordaje externo"
0PW5XKZ,P,"Revisión en escápula, derecha, de sustituto de tejido no autólogo, abordaje externo"
0PW604Z,P,"Revisión en escápula, izquierda, de dispositivo de fijación interna, abordaje abierto"
0PW607Z,P,"Revisión en escápula, izquierda, de sustituto de tejido autólogo, abordaje abierto"
0PW60JZ,P,"Revisión en escápula, izquierda, de sustituto sintético, abordaje abierto"
0PW60KZ,P,"Revisión en escápula, izquierda, de sustituto de tejido no autólogo, abordaje abierto"
0PW634Z,P,"Revisión en escápula, izquierda, de dispositivo de fijación interna, abordaje percutáneo"
0PW637Z,P,"Revisión en escápula, izquierda, de sustituto de tejido autólogo, abordaje percutáneo"
0PW63JZ,P,"Revisión en escápula, izquierda, de sustituto sintético, abordaje percutáneo"
0PW63KZ,P,"Revisión en escápula, izquierda, de sustituto de tejido no autólogo, abordaje percutáneo"
0PW644Z,P,"Revisión en escápula, izquierda, de dispositivo de fijación interna, abordaje endoscópico percutáneo"
0PW647Z,P,"Revisión en escápula, izquierda, de sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PW64JZ,P,"Revisión en escápula, izquierda, de sustituto sintético, abordaje endoscópico percutáneo"
0PW64KZ,P,"Revisión en escápula, izquierda, de sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PW6X4Z,P,"Revisión en escápula, izquierda, de dispositivo de fijación interna, abordaje externo"
0PW6X7Z,P,"Revisión en escápula, izquierda, de sustituto de tejido autólogo, abordaje externo"
0PW6XJZ,P,"Revisión en escápula, izquierda, de sustituto sintético, abordaje externo"
0PW6XKZ,P,"Revisión en escápula, izquierda, de sustituto de tejido no autólogo, abordaje externo"
0PW704Z,P,"Revisión en cavidad glenoidea, derecha, de dispositivo de fijación interna, abordaje abierto"
0PW707Z,P,"Revisión en cavidad glenoidea, derecha, de sustituto de tejido autólogo, abordaje abierto"
0PW70JZ,P,"Revisión en cavidad glenoidea, derecha, de sustituto sintético, abordaje abierto"
0PW70KZ,P,"Revisión en cavidad glenoidea, derecha, de sustituto de tejido no autólogo, abordaje abierto"
0PW734Z,P,"Revisión en cavidad glenoidea, derecha, de dispositivo de fijación interna, abordaje percutáneo"
0PW737Z,P,"Revisión en cavidad glenoidea, derecha, de sustituto de tejido autólogo, abordaje percutáneo"
0PW73JZ,P,"Revisión en cavidad glenoidea, derecha, de sustituto sintético, abordaje percutáneo"
0PW73KZ,P,"Revisión en cavidad glenoidea, derecha, de sustituto de tejido no autólogo, abordaje percutáneo"
0PW744Z,P,"Revisión en cavidad glenoidea, derecha, de dispositivo de fijación interna, abordaje endoscópico percutáneo"
0PW747Z,P,"Revisión en cavidad glenoidea, derecha, de sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PW74JZ,P,"Revisión en cavidad glenoidea, derecha, de sustituto sintético, abordaje endoscópico percutáneo"
0PW74KZ,P,"Revisión en cavidad glenoidea, derecha, de sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PW7X4Z,P,"Revisión en cavidad glenoidea, derecha, de dispositivo de fijación interna, abordaje externo"
0PW7X7Z,P,"Revisión en cavidad glenoidea, derecha, de sustituto de tejido autólogo, abordaje externo"
0PW7XJZ,P,"Revisión en cavidad glenoidea, derecha, de sustituto sintético, abordaje externo"
0PW7XKZ,P,"Revisión en cavidad glenoidea, derecha, de sustituto de tejido no autólogo, abordaje externo"
0PW804Z,P,"Revisión en cavidad glenoidea, izquierda, de dispositivo de fijación interna, abordaje abierto"
0PW807Z,P,"Revisión en cavidad glenoidea, izquierda, de sustituto de tejido autólogo, abordaje abierto"
0PW80JZ,P,"Revisión en cavidad glenoidea, izquierda, de sustituto sintético, abordaje abierto"
0PW80KZ,P,"Revisión en cavidad glenoidea, izquierda, de sustituto de tejido no autólogo, abordaje abierto"
0PW834Z,P,"Revisión en cavidad glenoidea, izquierda, de dispositivo de fijación interna, abordaje percutáneo"
0PW837Z,P,"Revisión en cavidad glenoidea, izquierda, de sustituto de tejido autólogo, abordaje percutáneo"
0PW83JZ,P,"Revisión en cavidad glenoidea, izquierda, de sustituto sintético, abordaje percutáneo"
0PW83KZ,P,"Revisión en cavidad glenoidea, izquierda, de sustituto de tejido no autólogo, abordaje percutáneo"
0PW844Z,P,"Revisión en cavidad glenoidea, izquierda, de dispositivo de fijación interna, abordaje endoscópico percutáneo"
0PW847Z,P,"Revisión en cavidad glenoidea, izquierda, de sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PW84JZ,P,"Revisión en cavidad glenoidea, izquierda, de sustituto sintético, abordaje endoscópico percutáneo"
0PW84KZ,P,"Revisión en cavidad glenoidea, izquierda, de sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PW8X4Z,P,"Revisión en cavidad glenoidea, izquierda, de dispositivo de fijación interna, abordaje externo"
0PW8X7Z,P,"Revisión en cavidad glenoidea, izquierda, de sustituto de tejido autólogo, abordaje externo"
0PW8XJZ,P,"Revisión en cavidad glenoidea, izquierda, de sustituto sintético, abordaje externo"
0PW8XKZ,P,"Revisión en cavidad glenoidea, izquierda, de sustituto de tejido no autólogo, abordaje externo"
0PW904Z,P,"Revisión en clavícula, derecha, de dispositivo de fijación interna, abordaje abierto"
0PW907Z,P,"Revisión en clavícula, derecha, de sustituto de tejido autólogo, abordaje abierto"
0PW90JZ,P,"Revisión en clavícula, derecha, de sustituto sintético, abordaje abierto"
0PW90KZ,P,"Revisión en clavícula, derecha, de sustituto de tejido no autólogo, abordaje abierto"
0PW934Z,P,"Revisión en clavícula, derecha, de dispositivo de fijación interna, abordaje percutáneo"
0PW937Z,P,"Revisión en clavícula, derecha, de sustituto de tejido autólogo, abordaje percutáneo"
0PW93JZ,P,"Revisión en clavícula, derecha, de sustituto sintético, abordaje percutáneo"
0PW93KZ,P,"Revisión en clavícula, derecha, de sustituto de tejido no autólogo, abordaje percutáneo"
0PW944Z,P,"Revisión en clavícula, derecha, de dispositivo de fijación interna, abordaje endoscópico percutáneo"
0PW947Z,P,"Revisión en clavícula, derecha, de sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PW94JZ,P,"Revisión en clavícula, derecha, de sustituto sintético, abordaje endoscópico percutáneo"
0PW94KZ,P,"Revisión en clavícula, derecha, de sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PW9X4Z,P,"Revisión en clavícula, derecha, de dispositivo de fijación interna, abordaje externo"
0PW9X7Z,P,"Revisión en clavícula, derecha, de sustituto de tejido autólogo, abordaje externo"
0PW9XJZ,P,"Revisión en clavícula, derecha, de sustituto sintético, abordaje externo"
0PW9XKZ,P,"Revisión en clavícula, derecha, de sustituto de tejido no autólogo, abordaje externo"
0PWB04Z,P,"Revisión en clavícula, izquierda, de dispositivo de fijación interna, abordaje abierto"
0PWB07Z,P,"Revisión en clavícula, izquierda, de sustituto de tejido autólogo, abordaje abierto"
0PWB0JZ,P,"Revisión en clavícula, izquierda, de sustituto sintético, abordaje abierto"
0PWB0KZ,P,"Revisión en clavícula, izquierda, de sustituto de tejido no autólogo, abordaje abierto"
0PWB34Z,P,"Revisión en clavícula, izquierda, de dispositivo de fijación interna, abordaje percutáneo"
0PWB37Z,P,"Revisión en clavícula, izquierda, de sustituto de tejido autólogo, abordaje percutáneo"
0PWB3JZ,P,"Revisión en clavícula, izquierda, de sustituto sintético, abordaje percutáneo"
0PWB3KZ,P,"Revisión en clavícula, izquierda, de sustituto de tejido no autólogo, abordaje percutáneo"
0PWB44Z,P,"Revisión en clavícula, izquierda, de dispositivo de fijación interna, abordaje endoscópico percutáneo"
0PWB47Z,P,"Revisión en clavícula, izquierda, de sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PWB4JZ,P,"Revisión en clavícula, izquierda, de sustituto sintético, abordaje endoscópico percutáneo"
0PWB4KZ,P,"Revisión en clavícula, izquierda, de sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
0PWBX4Z,P,"Revisión en clavícula, izquierda, de dispositivo de fijación interna, abordaje externo"
0PWBX7Z,P,"Revisión en clavícula, izquierda, de sustituto de tejido autólogo, abordaje externo"
0PWBXJZ,P,"Revisión en clavícula, izquierda, de sustituto sintético, abordaje externo"
0PWBXKZ,P,"Revisión en clavícula, izquierda, de sustituto de tejido no autólogo, abordaje externo"
0PWC04Z,P,"Revisión en cabeza humeral, derecha, de dispositivo de fijación interna, abordaje abierto"
0PWC05Z,P,"Revisión en cabeza humeral, derecha, de dispositivo de fijación externa, abordaje abierto"
0PWC07Z,P,"Revisión en cabeza humeral, derecha, de sustituto de tejido autólogo, abordaje abierto"
0PWC0JZ,P,"Revisión en cabeza humeral, derecha, de sustituto sintético, abordaje abierto"
0PWC0KZ,P,"Revisión en cabeza humeral, derecha, de sustituto de tejido no autólogo, abordaje abierto"
0PWC34Z,P,"Revisión en cabeza humeral, derecha, de dispositivo de fijación interna, abordaje percutáneo"
0PWC35Z,P,"Revisión en cabeza humeral, derecha, de dispositivo de fijación externa, abordaje percutáneo"
0PWC37Z,P,"Revisión en cabeza humeral, derecha, de sustituto de tejido autólogo, abordaje percutáneo"
0PWC3JZ,P,"Revisión en cabeza humeral, derecha, de sustituto sintético, abordaje percutáneo"
0PWC3KZ,P,"Revisión en cabeza humeral, derecha, de sustituto de tejido no autólogo, abordaje percutáneo"
0PWC44Z,P,"Revisión en cabeza humeral, derecha, de dispositivo de fijación interna, abordaje endoscópico percutáneo"
0PWC45Z,P,"Revisión en cabeza humeral, derecha, de dispositivo de fijación externa, abordaje endoscópico percutáneo"
0PWC47Z,P,"Revisión en cabeza humeral, derecha, de sustituto de tejido autólogo, abordaje endoscópico percutáneo"
0PWC4JZ,P,"Revisión en cabeza humeral, derecha, de sustituto sintético, abordaje endoscópico percutáneo"
0PWC4KZ,P,"Revisión en cabeza humeral, derecha, de sustituto de tejido no autólogo, abordaje endoscópico percutáneo"
